08:48:20.791 -> Enter current location (##): 7
08:48:22.366 -> Enter current direction: WEST
08:48:23.875 -> Enter a destination: 2
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 North -> 1 North -> NA
08:48:26.442 -> Result: 7 West -> 0 North -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 South -> 2 South -> NA
08:48:26.442 -> Result: 7 West -> 0 South -> 2 South -> NA
08:48:26.442 -> MOVING West Turning West
08:48:26.442 -> Setting turn
08:48:26.442 -> Setting speed
08:48:26.442 -> Set Speeed
08:49:16.929 -> Front: 2185   |   RIGHT OFFSET: 7
08:49:17.189 -> Front: 1828   |   RIGHT OFFSET: 11
08:49:17.506 -> Front: 1702   |   RIGHT OFFSET: 15
08:49:17.769 -> Front: 1752   |   RIGHT OFFSET: 15
08:49:18.025 -> Front: 1761   |   RIGHT OFFSET: 15
08:49:18.339 -> Front: 1987   |   RIGHT OFFSET: 15
08:49:18.588 -> Front: 2296   |   RIGHT OFFSET: 10
08:49:18.891 -> Front: 2705   |   RIGHT OFFSET: 7
08:49:19.171 -> Front: 3149   |   RIGHT OFFSET: 3
08:49:19.456 -> Front: 3508   |   RIGHT OFFSET: -1
08:49:19.739 -> Front: 3790   |   RIGHT OFFSET: -30
08:49:20.007 -> Front: 4033   |   RIGHT OFFSET: -30
08:49:20.282 -> Front: 3988   |   RIGHT OFFSET: -30
08:49:20.567 -> Front: 3791   |   RIGHT OFFSET: -30
08:49:20.831 -> Front: 3569   |   RIGHT OFFSET: -9
08:49:21.141 -> Front: 3333   |   RIGHT OFFSET: -9
08:49:21.418 -> Front: 3068   |   RIGHT OFFSET: 2
08:49:21.722 -> Front: 3024   |   RIGHT OFFSET: 2
08:49:21.989 -> Front: 3084   |   RIGHT OFFSET: 0
08:49:22.269 -> Front: 3197   |   RIGHT OFFSET: -4
08:49:22.553 -> Front: 3295   |   RIGHT OFFSET: -8
08:49:22.830 -> Front: 3294   |   RIGHT OFFSET: -8
08:49:23.137 -> Front: 3173   |   RIGHT OFFSET: -8
08:49:23.396 -> Front: 3059   |   RIGHT OFFSET: -8
08:49:23.699 -> Front: 2951   |   RIGHT OFFSET: -8
08:49:23.943 -> Front: 2823   |   RIGHT OFFSET: -8
08:49:24.257 -> Front: 2727   |   RIGHT OFFSET: -7
08:49:24.534 -> Front: 2595   |   RIGHT OFFSET: -6
08:49:24.811 -> Front: 2447   |   RIGHT OFFSET: -5
08:49:25.054 -> Front: 2335   |   RIGHT OFFSET: -30
08:49:25.354 -> Front: 2200   |   RIGHT OFFSET: -30
08:49:25.639 -> Front: 1890   |   RIGHT OFFSET: -9
08:49:25.943 -> Front: 1651   |   RIGHT OFFSET: -5
08:49:26.187 -> Front: 1396   |   RIGHT OFFSET: -1
08:49:26.463 -> Front: 1197   |   RIGHT OFFSET: 30
08:49:26.745 -> Front: 1144   |   RIGHT OFFSET: 30
08:49:27.032 -> Front: 1231   |   RIGHT OFFSET: 30
08:49:27.320 -> Front: 1348   |   RIGHT OFFSET: 9
08:49:27.593 -> Front: 1559   |   RIGHT OFFSET: 9
08:49:27.889 -> Front: 1761   |   RIGHT OFFSET: 9
08:49:28.166 -> Front: 1995   |   RIGHT OFFSET: 9
08:49:28.437 -> Front: 2317   |   RIGHT OFFSET: 6
08:49:28.719 -> Front: 2645   |   RIGHT OFFSET: 3
08:49:28.989 -> Front: 2958   |   RIGHT OFFSET: 1
08:49:29.267 -> Front: 3226   |   RIGHT OFFSET: -3
08:49:29.584 -> Front: 3654   |   RIGHT OFFSET: -7
08:49:29.852 -> Front: 3719   |   RIGHT OFFSET: -11
08:49:30.127 -> Front: 3859   |   RIGHT OFFSET: -30
08:49:30.420 -> Front: 3790   |   RIGHT OFFSET: -30
08:49:30.689 -> Front: 3552   |   RIGHT OFFSET: -9
08:49:30.952 -> Front: 3303   |   RIGHT OFFSET: -30
08:49:31.245 -> Front: 3070   |   RIGHT OFFSET: -30
08:49:31.525 -> Front: 2829   |   RIGHT OFFSET: -9
08:49:31.792 -> Front: 2691   |   RIGHT OFFSET: -30
08:49:32.084 -> Front: 2637   |   RIGHT OFFSET: -10
08:49:32.374 -> Front: 2531   |   RIGHT OFFSET: -9
08:49:32.659 -> Front: 2397   |   RIGHT OFFSET: -8
08:49:32.913 -> Front: 2221   |   RIGHT OFFSET: -6
08:49:33.185 -> Front: 2106   |   RIGHT OFFSET: -4
08:49:33.480 -> Front: 2038   |   RIGHT OFFSET: -2
08:49:33.738 -> Front: 2017   |   RIGHT OFFSET: 0
08:49:33.992 -> Front: 2054   |   RIGHT OFFSET: 0
08:49:34.280 -> Front: 2317   |   RIGHT OFFSET: -3
08:49:34.558 -> Front: 2535   |   RIGHT OFFSET: -4
08:49:34.849 -> Front: 2570   |   RIGHT OFFSET: -5
08:49:35.106 -> Front: 2548   |   RIGHT OFFSET: -4
08:49:35.397 -> Front: 2504   |   RIGHT OFFSET: -3
08:49:35.659 -> Front: 2422   |   RIGHT OFFSET: -2
08:49:35.968 -> Front: 2310   |   RIGHT OFFSET: -1
08:49:36.223 -> Front: 2235   |   RIGHT OFFSET: 1
08:49:36.511 -> Front: 2056   |   RIGHT OFFSET: 3
08:49:36.774 -> Front: 1968   |   RIGHT OFFSET: 5
08:49:37.034 -> Front: 2137   |   RIGHT OFFSET: 5
08:49:37.335 -> Front: 2337   |   RIGHT OFFSET: 4
08:49:37.611 -> Front: 2500   |   RIGHT OFFSET: -30
08:49:37.896 -> Front: 2593   |   RIGHT OFFSET: -30
08:49:38.174 -> Front: 2678   |   RIGHT OFFSET: -10
08:49:38.420 -> Front: 2544   |   RIGHT OFFSET: -9
08:49:38.739 -> Front: 2445   |   RIGHT OFFSET: -8
08:49:39.004 -> Front: 2189   |   RIGHT OFFSET: -6
08:49:39.306 -> Front: 1988   |   RIGHT OFFSET: -4
08:49:39.547 -> Front: 1932   |   RIGHT OFFSET: -2
08:49:39.850 -> Front: 1843   |   RIGHT OFFSET: 2
08:49:40.139 -> Front: 1908   |   RIGHT OFFSET: 2
08:49:40.388 -> Front: 1959   |   RIGHT OFFSET: 2
08:49:40.706 -> Front: 2352   |   RIGHT OFFSET: -1
08:49:40.984 -> Front: 1671   |   RIGHT OFFSET: 3
08:49:41.245 -> Front: 1773   |   RIGHT OFFSET: 3
08:49:41.514 -> Front: 1849   |   RIGHT OFFSET: 3
08:49:41.802 -> Front: 3278   |   RIGHT OFFSET: -2
08:49:42.082 -> Front: 2080   |   RIGHT OFFSET: 1
08:49:42.402 -> Front: 1991   |   RIGHT OFFSET: 3
08:49:42.644 -> Front: 2036   |   RIGHT OFFSET: 3
08:49:42.923 -> Front: 2056   |   RIGHT OFFSET: -30
08:49:43.195 -> Front: 2040   |   RIGHT OFFSET: -9
08:49:43.493 -> Front: 2033   |   RIGHT OFFSET: -7
08:49:43.813 -> Front: 1904   |   RIGHT OFFSET: -5
08:49:44.050 -> Front: 1748   |   RIGHT OFFSET: -30
08:49:44.349 -> Front: 1598   |   RIGHT OFFSET: -9
08:49:44.616 -> Front: 1452   |   RIGHT OFFSET: -5
08:49:44.923 -> Front: 1202   |   RIGHT OFFSET: 30
08:49:45.182 -> Front: 1031   |   RIGHT OFFSET: 30
08:49:45.459 -> Front: 1001   |   RIGHT OFFSET: 30
08:49:45.748 -> Front: 1059   |   RIGHT OFFSET: 30
08:49:46.004 -> Front: 1241   |   RIGHT OFFSET: 30
08:49:46.320 -> Front: 1453   |   RIGHT OFFSET: 9
08:49:46.602 -> Front: 1817   |   RIGHT OFFSET: -2
08:49:46.870 -> Front: 2116   |   RIGHT OFFSET: 0
08:49:47.182 -> Front: 2297   |   RIGHT OFFSET: -1
08:49:47.456 -> Front: 2487   |   RIGHT OFFSET: -2
08:49:47.780 -> Front: 2690   |   RIGHT OFFSET: -3
08:49:48.027 -> Front: 2783   |   RIGHT OFFSET: -5
08:49:48.333 -> Front: 2770   |   RIGHT OFFSET: -5
08:49:48.625 -> Front: 2756   |   RIGHT OFFSET: -5
08:49:48.903 -> Front: 2777   |   RIGHT OFFSET: -7
08:49:49.203 -> Front: 2816   |   RIGHT OFFSET: -9
08:49:49.508 -> Front: 2900   |   RIGHT OFFSET: -11
08:49:49.791 -> Front: 2989   |   RIGHT OFFSET: -11
08:49:50.095 -> Front: 2942   |   RIGHT OFFSET: -11
08:49:50.377 -> Front: 2852   |   RIGHT OFFSET: -11
08:49:50.673 -> Front: 2770   |   RIGHT OFFSET: -11
08:49:50.983 -> Front: 2764   |   RIGHT OFFSET: -11
08:49:51.267 -> Front: 2608   |   RIGHT OFFSET: -11
08:49:51.558 -> Front: 2591   |   RIGHT OFFSET: -11
08:49:51.856 -> Front: 2528   |   RIGHT OFFSET: -11
08:49:52.136 -> Front: 2380   |   RIGHT OFFSET: -11
08:49:52.436 -> Front: 2184   |   RIGHT OFFSET: -11
08:49:52.706 -> Front: 2084   |   RIGHT OFFSET: -11
08:49:53.003 -> Front: 1976   |   RIGHT OFFSET: -9
08:49:53.260 -> Front: 1832   |   RIGHT OFFSET: -5
08:49:53.540 -> Front: 1680   |   RIGHT OFFSET: -1
08:49:53.858 -> Front: 1617   |   RIGHT OFFSET: 3
08:49:54.116 -> Front: 1515   |   RIGHT OFFSET: 7
08:49:54.417 -> Front: 1367   |   RIGHT OFFSET: 11
08:49:54.675 -> Front: 1385   |   RIGHT OFFSET: 11
08:49:54.958 -> Front: 1679   |   RIGHT OFFSET: -3
08:49:55.222 -> Front: 1697   |   RIGHT OFFSET: -3
08:49:55.520 -> Front: 1873   |   RIGHT OFFSET: -3
08:49:55.809 -> Front: 2045   |   RIGHT OFFSET: -3
08:49:56.064 -> Front: 2235   |   RIGHT OFFSET: -3
08:49:56.340 -> Front: 2386   |   RIGHT OFFSET: -4
08:49:56.623 -> Front: 2617   |   RIGHT OFFSET: -5
08:49:56.871 -> Front: 2659   |   RIGHT OFFSET: -30
08:49:57.173 -> Front: 2634   |   RIGHT OFFSET: -10
08:49:57.428 -> Front: 2566   |   RIGHT OFFSET: -9
08:49:57.723 -> Front: 2450   |   RIGHT OFFSET: -8
08:49:57.974 -> Front: 2585   |   RIGHT OFFSET: -9
08:49:58.242 -> Front: 2567   |   RIGHT OFFSET: -8
08:49:58.528 -> Front: 2592   |   RIGHT OFFSET: -9
08:49:58.790 -> Front: 2543   |   RIGHT OFFSET: -8
08:49:59.066 -> Front: 2465   |   RIGHT OFFSET: -30
08:49:59.361 -> Front: 2476   |   RIGHT OFFSET: -10
08:49:59.616 -> Front: 2366   |   RIGHT OFFSET: -9
08:49:59.887 -> Front: 2336   |   RIGHT OFFSET: -8
08:50:06.346 -> Module failed to respond. Please check wiring.
08:51:41.541 -> Enter current location (##): 7
08:51:43.545 -> Enter current direction: WEST
